Héroe: abaddon | Set: BLIGHTFALL
Héroe: mars | Set: MOLTEN BORE
Héroe: medusa | Set: DEATH ADDER
Héroe: medusa | Set: JEWELS OF ANAMNESSA
Héroe: meepo | Set: EVERGLYPH GOGGLES
Héroe: meepo | Set: LOTUS OF THE MOUNTAIN BEAR CLAN
Héroe: mirana | Set: PHOTAX FLUTTERCAT
Héroe: monkey king | Set: CHAMPION OF THE FIRE LOTUS
Héroe: monkey king | Set: TANGLED TROPICS
Héroe: morphling | Set: FLUID FRENZY
Héroe: muerta | Set: BLACKWING BANDOLERA
Héroe: muerta | Set: BLACKWING BANDOLERA_2
Héroe: muerta | Set: MARIPOSA MORI
Héroe: muerta | Set: MARIPOSA MORI_2
Héroe: muerta | Set: ROSE OF MOIRA
Héroe: muerta | Set: ROSE OF MOIRA_2
Héroe: naga | Set: MARTYRDOM OF THE BRINEBORN
Héroe: natures prophet | Set: DESERT BLOOM
Héroe: natures prophet | Set: DESERT BLOOM_2
Héroe: natures prophet | Set: SIGNS OF THE ALLFATHER
Héroe: natures prophet | Set: SIGNS OF THE ALLFATHER_2
Héroe: necrophos | Set: GOLDEN SULLEN SANCTUM
Héroe: necrophos | Set: ROT-IRON RIPPER
Héroe: necrophos | Set: SULLEN SANCTUM
Héroe: night stalker | Set: DREAD OF NIGHT
Héroe: night stalker | Set: DREAD OF NIGHT_2
Héroe: night stalker | Set: FEASTS OF FOREVER
Héroe: night stalker | Set: FEASTS OF FOREVER_2
Héroe: night stalker | Set: ORIGIN OF THE DARK OATH
Héroe: night stalker | Set: ORIGIN OF THE DARK OATH_2
Héroe: night stalker | Set: TWILIGHT LEGIONS
Héroe: night stalker | Set: TWILIGHT LEGIONS_2
Héroe: nyx assasin | Set: MECHA NYX
Héroe: ogre magi | Set: FREEBOOT FORTUNES
Héroe: ogre magi | Set: PYREXAE POLYMORPH PERFECTED
Héroe: oracle | Set: FORESEEN HORIZONS
Héroe: oracle | Set: SILENCE OF THE STARWEAVER
Héroe: oracle | Set: TRANSCENDENT PATH
Héroe: pangolier | Set: TALES OF THE WINDWARD ROGUE
Héroe: phantom assasin | Set: DARKFEATHER FACTIONEER
Héroe: phantom assasin | Set: ONIKAGE DISCIPLE
Héroe: phantom assasin persona | Set: PHANTOMS FACADE
Héroe: phantom assasin persona | Set: REAPER OF THE WANING VEIL
Héroe: phantom assasin persona | Set: SHADOW STALKER
Héroe: phantom lancer | Set: SCALES OF THE SHADOW WALKER
Héroe: phoenix | Set: BLAZE OF OBLIVION
Héroe: phoenix | Set: BLAZE OF OBLIVION_2
Héroe: phoenix | Set: CRIMSON DAWN
Héroe: phoenix | Set: CRIMSON DAWN_2
Héroe: phoenix | Set: STAR SAGE
Héroe: phoenix | Set: STAR SAGE_2
Héroe: primal beast | Set: PRIMEVAL ABOMINATION
Héroe: primal beast | Set: SVAROG THE INFERNAL
Héroe: pudge | Set: CURSED CRYPTBREAKER
Héroe: pudge | Set: DAPPER DISGUISE
Héroe: pudge | Set: MINDLESS SLAUGHTER
Héroe: pudge | Set: ROTZO THE CLOWN
Héroe: pudge | Set: ROTZO THE CLOWN_2
Héroe: pudge persona | Set: VELVETEEN VANQUISHER
Héroe: queen of pain | Set: EXQUISITE AGONIES
Héroe: razor | Set: HEINOUS EXULTATION
Héroe: razor | Set: TEST OF THE BASILISK LORD
Héroe: riki | Set: SCARLET SUBVERSION
Héroe: rubick | Set: CAROUSAL OF THE MYSTIC MASQUERADE
Héroe: rubick | Set: MARCH OF THE CRACKERJACK MAGE
Héroe: shadow demon | Set: CROWN OF CALAPHAS
Héroe: shadow demon | Set: VILE VESSEL
Héroe: shadow fiend | Set: SOULS TYRANT
Héroe: shadow shaman | Set: RED SANDS MARAUDER
Héroe: silencer | Set: GRAND SUPPRESSOR
Héroe: silencer | Set: SILENT SLAYER
Héroe: silencer | Set: WORSHIP OF THE WHISPERED WING
Héroe: skywrath mage | Set: EYRIEBOUND IMPERATOR
Héroe: skywrath mage | Set: SECRETS OF THE CELESTIAL
Héroe: slark | Set: ANGLER IN THE ABYSS
Héroe: snapefire | Set: ARDALAN ARMS RACE
Héroe: snapefire | Set: SHELLSHOCK SATURNALIA
Héroe: snapefire | Set: SNAILFIRE
Héroe: snapefire | Set: WATELAND RATTLER
Héroe: snapefire | Set: WHIPPERSNAPPER
Héroe: sniper | Set: BLACKSAIL CANNONEER
Héroe: spectre | Set: CRESCENT HUNTRESS
Héroe: spectre | Set: SPOILS OF THE SHADOWVEIL
Héroe: spirit breaker | Set: BARATHRUMS FURY
Héroe: spirit breaker | Set: CRYSTAL COLOSSUS
Héroe: spirit breaker | Set: TAURHORN TERROR
Héroe: spirit breaker | Set: TAURID TWILIGHT
Héroe: storm spirit | Set: BEAST OF THUNDER
Héroe: sven | Set: ASTRAL SCHISM
Héroe: sven | Set: INDOMITABLE LEGACY
Héroe: sven | Set: WATCHER ON THE NORTHERN SHORE
Héroe: techis | Set: WAR RIG ERADICATORS
Héroe: templar assasin | Set: DARKBLADE ADEPT
Héroe: templar assasin | Set: FACTION OF THE FEATHER
Héroe: templar assasin | Set: GOLDEN SECLUSIONS OF THE VOID
Héroe: templar assasin | Set: SECLUSIONS OF THE VOID
Héroe: templar assasin | Set: STEWARD OF THE FORBIDDEN CHAMBER
Héroe: terrorblade | Set: FORGOTTEN STATION
Héroe: terrorblade | Set: FORGOTTEN STATION_2
Héroe: tidehunter | Set: HORROR FROM THE DEEP
Héroe: timbersaw | Set: CLEARCUT CAVALIER
Héroe: tinker | Set: INTERESTELLAR ASTRARIUM
Héroe: tiny | Set: ANCIENT INHERITANCE
Héroe: tiny | Set: ANTHOZOAN ASSAULT
Héroe: tiny | Set: COLOSSAL TERRORPIN
Héroe: treant protector | Set: GRUDES OF THE GALLOWS TREE
Héroe: tusk | Set: DISTINGUISHED EXPEDITIONARY
Héroe: undying | Set: DIRGE AMPLIFIER
Héroe: undying | Set: DIRGE AMPLIFIER_2
Héroe: undying | Set: UNDYING LOVE
Héroe: undying | Set: UNDYING LOVE_2
Héroe: ursa | Set: BLOODZO THE BEAR
Héroe: ursa | Set: TROPHIES OF THE HALLOWED HUNT
Héroe: vengeful spirit | Set: ACRIMONIES OF OBSESSION
Héroe: venomancer | Set: MECHAMANCER
Héroe: venomancer | Set: MECHAMANCER_2
Héroe: venomancer | Set: MOLOKAU STALKER
Héroe: venomancer | Set: MOLOKAU STALKER_2
Héroe: venomancer | Set: THE ORB OF AKTOK
Héroe: venomancer | Set: THE ORB OF AKTOK_2
Héroe: void spirit | Set: SUBLIME EQUILIBRIUM
Héroe: void spirit | Set: UMBRAL EXPANSE
Héroe: warlock | Set: BEHOLDEN OF THE BANISHED ONES
Héroe: warlock | Set: BEHOLDEN OF THE BANISHED ONES_2
Héroe: warlock | Set: SEAM RIPPER SNUGGLE TIME
Héroe: warlock | Set: SEAM RIPPER SNUGGLE TIME_2
Héroe: warlock | Set: TRIBAL PATHWAYS
Héroe: warlock | Set: TRIBAL PATHWAYS_2
Héroe: winter wyvern | Set: ARCTIC RECLUSE
Héroe: winter wyvern | Set: DEFENDER OF THE BRUMAL CREST
Héroe: witch doctor | Set: DEATHSTITCH SHAMAN
Héroe: witch doctor | Set: DEATHSTITCH SHAMAN_2
Héroe: wraith king | Set: GRIM DESTINY
Héroe: wraith king | Set: TYRANT OF THE VEIL
Héroe: zeus | Set: FURY OF THE THUNDERHAWK
Héroe: zeus | Set: PHOTONIC FATHER
Héroe: zeus | Set: THUNDERVOLT






